lambda,s_lambda,dlambda_ds
0.05799149574787394,0.17339703339697007,0.46186975989418166
0.05848674337168584,0.17446722272646198,0.4636664540849856
0.05898199099549775,0.17553328428553816,0.4654533540689692
0.059477238619309654,0.17659527196994274,0.4672305730236551
0.05997248624312156,0.1776532385524319,0.46899822180736545
0.060467733866933465,0.17870723571524091,0.4707564090256869
0.060962981490745374,0.17975731408135565,0.47250524109546205
0.061458229114557276,0.1808035232446414,0.47424482230648907
0.061953476738369186,0.18184591179888024,0.47597525488098597
0.06244872436218109,0.1828845273657641,0.4776966390309153
0.062943971985993,0.18391941662188993,0.47940907301329677
0.0634392196098049,0.1849506253247992,0.4811126531835573
0.06393446723361682,0.18597819833810345,0.4828074740470221
0.06442971485742872,0.18700217965573435,0.4844936283086247
0.06492496248124062,0.18802261242535542,0.4861712069209029
0.06542021010505253,0.18903953897097073,0.4878402991303556
0.06591545772886444,0.19005300081476328,0.4895009925222385
0.06641070535267635,0.19106303869819594,0.49115337306385004
0.06690595297648824,0.19206969260240414,0.49279752514636155
0.06740120060030015,0.19307300176790992,0.4944335316252823
0.06789644822411206,0.19407300471368408,0.4960614738595793
0.06839169584792397,0.19506973925558305,0.497681431749535
0.06888694347173588,0.19606324252418522,0.4992934837733566
0.06938219109554779,0.19705355098205027,0.500897707022633
0.06987743871935968,0.19804070044042438,0.5024941772366439
0.07037268634317159,0.1990247260754129,0.5040829688355833
0.0708679339669835,0.2000056624436408,0.505664154952746
0.07136318159079541,0.20098354349742079,0.507237807465694
0.0718584292146073,0.20195840259944803,0.5088039970264703
0.07235367683841921,0.20293027253703913,0.5103627930908711
0.07284892446223112,0.20389918553593242,0.511914263946823
0.07334417208604303,0.2048651732736664,0.5134584767419037
0.07383941970985494,0.20582826689255165,0.5149954975100242
0.07433466733366684,0.2067884970122512,0.5165253911973164
0.07482991495747875,0.20774589374198382,0.518048221687246
0.07532516258129066,0.20870048669236393,0.5195640518249828
0.07582041020510256,0.20965230498689116,0.5210729434410547
0.07631565782891446,0.21060137727310227,0.5225749573743088
0.07681090545272637,0.21154773173339747,0.5240701534942164
0.07730615307653828,0.21249139609555243,0.5255585907225157
0.07780140070035019,0.21343239764292746,0.5270403270542492
0.07829664832416208,0.21437076322438411,0.5285154195782091
0.07879189594797399,0.21530651926391964,0.5299839244967752
0.0792871435717859,0.21623969177002872,0.5314458971452304
0.07978239119559781,0.2171703063448022,0.5329013920105147
0.08027763881940972,0.21809838819277158,0.5343504627494584
0.08077288644322161,0.219023962129508,0.5357931622065277
0.08126813406703352,0.2199470525899839,0.537229542431077
0.08176338169084543,0.22086768363670525,0.5386596546941109
0.08225862931465734,0.22178587896762222,0.5400835495046337
0.08275387693846924,0.22270166192382548,0.5415012766255154
0.08324912456228115,0.2236150554970352,0.542912885088969
0.08374437218609306,0.22452608233688934,0.5443184232115877
0.08423961980990496,0.2254347647580382,0.5457179386090051
0.08473486743371687,0.22634112474705106,0.5471114782101584
0.08523011505752877,0.22724518396914123,0.5484990882711862
0.08572536268134068,0.2281469637747152,0.5498808143889581
0.08622061030515259,0.2290464852057512,0.5512567015142626
0.0867158579289645,0.22994376900201335,0.5526267939646483
0.08721110555277639,0.2308388356071056,0.5539911354369449
0.0877063531765883,0.23173170517437125,0.5553497690194619
0.08820160080040021,0.23262239757264208,0.5567027372038807
0.08869684842421212,0.23351093239184273,0.5580500818968479
0.08919209604802401,0.2343973289484537,0.5593918444312799
0.08968734367183592,0.23528160629083816,0.5607280655773853
0.09018259129564783,0.23616378320443604,0.5620587855534201
0.09067783891945974,0.23704387821682993,0.5633840440361715
0.09117308654327165,0.23792190960268636,0.5647038801711892
0.09166833416708355,0.23879789538857613,0.566018332582776
0.09216358179089545,0.23967185335767763,0.5673274393837195
0.09265882941470736,0.2405438010543661,0.5686312381848103
0.09315407703851927,0.24141375578869265,0.5699297661041169
0.09364932466233117,0.24228173464075592,0.5712230597760493
0.09414457228614308,0.24314775446496995,0.572511155360205
0.09463981990995499,0.24401183189423045,0.573794088550009
0.0951350675337669,0.24487398334398341,0.5750718945811507
0.0956303151575788,0.24573422501619813,0.5763446082398196
0.0961255627813907,0.2465925729032475,0.577612263870762
0.09662081040520261,0.24744904279169852,0.5788748953851433
0.09711605802901452,0.2483036502660151,0.5801325362682301
0.09761130565282643,0.24915641071217604,0.5813852195869026
0.09810655327663832,0.25000733932121005,0.5826329779969932
0.09860180090045023,0.25085645109265087,0.5838758437504593
0.09909704852426214,0.2517037608379138,0.5851138487023929
0.09959229614807405,0.25254928318359643,0.5863470243178868
0.10008754377188595,0.25339303257470563,0.5875754016787258
0.10058279139569785,0.25423502327781233,0.5887990114899535
0.10107803901950976,0.2550752693841365,0.5900178840862751
0.10157328664332167,0.255913784812564,0.5912320494383344
0.10206853426713358,0.25675058331259737,0.5924415371588462
0.10256378189094548,0.2575856784672419,0.5936463765085974
